"id","name","neighbourhood","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","availability_365","X","Y","CategX","CategY"
22935006,"Blue Sky/vicino Fiera, stazione e centro.","Navile","Entire home/apt",64,1,41,"02/11/2019",1.01,0,44.5141,11.34609,"(44.514,44.516]","(44.514,44.516]"
23010869,"Policlinico S.ORSOLA residenza LA TERRAZZA","San Donato - San Vitale","Entire home/apt",90,2,10,"30/12/2018",0.26,170,44.50344,11.364,"(44.502,44.504]","(44.502,44.504]"
23029112,"Intimo e piacevole loft nel cuore pulsante del centro storico","Santo Stefano","Entire home/apt",81,3,157,"19/09/2020",3.84,332,44.49803,11.34855,"(44.498,44.5]","(44.498,44.5]"
23034647,"Downtown, very quiet 2 bedrooms for 5","Porto - Saragozza","Entire home/apt",62,2,72,"07/07/2021",1.72,101,44.49467,11.32981,"(44.494,44.496]","(44.494,44.496]"
23037006,"Appartamento fiera district","San Donato - San Vitale","Entire home/apt",600,3,2,"19/03/2018",0.06,13,44.50328,11.36459,"(44.502,44.504]","(44.502,44.504]"
23050113,"Nuovo e moderno open space a Bologna !","Santo Stefano","Entire home/apt",63,3,11,"25/10/2020",0.26,150,44.47299,11.36213,"(44.472,44.474]","(44.472,44.474]"
23114926,"CASA PEDECOLLINARE IN ZONA SILENZIOSA E COMODA","Savena","Entire home/apt",30,1,50,"19/10/2020",1.21,340,44.45817,11.36802,"(44.458,44.46]","(44.458,44.46]"
23118943,"PORTOBELLO Int.3  STRATEGIC LOCATION WITH PATIO.","Porto - Saragozza","Entire home/apt",130,3,17,"17/11/2019",0.45,0,44.50118,11.33876,"(44.5,44.502]","(44.5,44.502]"
23210253,"Intrigante appartamento ricco di storia di fronte a Piazza Maggiore","Santo Stefano","Entire home/apt",96,3,48,"17/01/2020",1.21,33,44.49486,11.34367,"(44.494,44.496]","(44.494,44.496]"
23224951,"FCapartment","Porto - Saragozza","Entire home/apt",69,2,137,"04/07/2021",4.37,314,44.49074,11.32183,"(44.49,44.492]","(44.49,44.492]"
23234750,"Santo Stefano home","Santo Stefano","Entire home/apt",78,3,0,"",NA,68,44.48683,11.35589,"(44.486,44.488]","(44.486,44.488]"
23300078,"La casa di Seta","Savena","Private room",55,1,1,"27/06/2021",1,173,44.47036,11.38976,"(44.47,44.472]","(44.47,44.472]"
23333204,"Couple's Getaway | King Size Bed + Private Parking","Santo Stefano","Private room",180,15,78,"22/09/2019",1.93,78,44.48615,11.33244,"(44.486,44.488]","(44.486,44.488]"
23337806,"Loft Little Lion 2","Savena","Entire home/apt",50,1,37,"01/09/2019",0.92,310,44.48312,11.38166,"(44.482,44.484]","(44.482,44.484]"
23356122,"BedinBolognaCentro 3","Santo Stefano","Hotel room",68,1,0,"",NA,364,44.48938,11.34428,"(44.488,44.49]","(44.488,44.49]"
23389161,"Gorgeous house with outdoor space!","San Donato - San Vitale","Private room",55,1,5,"04/04/2019",0.18,88,44.49281,11.36665,"(44.492,44.494]","(44.492,44.494]"
23432370,"Felix One studio apartment 10 minuti dalla fiera","Porto - Saragozza","Entire home/apt",37,4,97,"26/01/2020",2.39,0,44.5013,11.32755,"(44.5,44.502]","(44.5,44.502]"
23448688,"R&B VIA BAROZZI 6","Santo Stefano","Entire home/apt",100,1,2,"20/05/2018",0.05,314,44.50435,11.34937,"(44.504,44.506]","(44.504,44.506]"
23467993,"Z8 Fuoco - New studio between fair and old town","Santo Stefano","Entire home/apt",60,1,57,"21/11/2019",1.39,195,44.50221,11.35161,"(44.502,44.504]","(44.502,44.504]"
23467997,"Z8 Aria - Sweet apartment near fair and old town","Santo Stefano","Entire home/apt",64,1,43,"05/04/2021",1.07,201,44.50221,11.35161,"(44.502,44.504]","(44.502,44.504]"
23478780,"There Was ***** Room, Service, Best location","Santo Stefano","Private room",45,1,86,"26/01/2020",2.11,0,44.50453,11.34734,"(44.504,44.506]","(44.504,44.506]"
23515717,"Beautiful view on Asinelli and Garisenda towers","Santo Stefano","Entire home/apt",360,1,6,"18/09/2019",0.25,40,44.49457,11.34591,"(44.494,44.496]","(44.494,44.496]"
23542819,"Appartamento industrial-vintage con corte privata","Santo Stefano","Entire home/apt",72,2,105,"29/10/2019",2.58,48,44.49823,11.34511,"(44.498,44.5]","(44.498,44.5]"
23631438,"Apartment ""Love Bologna"" (bis)","Santo Stefano","Entire home/apt",70,1,0,"",NA,69,44.48308,11.36775,"(44.482,44.484]","(44.482,44.484]"
23635809,"New Apt in City Heart","Porto - Saragozza","Entire home/apt",110,2,116,"28/06/2020",2.96,113,44.49152,11.33956,"(44.49,44.492]","(44.49,44.492]"
23636055,"Your home away from home","San Donato - San Vitale","Entire home/apt",93,2,80,"17/12/2019",2.05,148,44.4965,11.36222,"(44.496,44.498]","(44.496,44.498]"
23661222,"Casa Fred","Porto - Saragozza","Entire home/apt",60,2,14,"14/07/2018",0.36,178,44.50412,11.31324,"(44.504,44.506]","(44.504,44.506]"
23725078,"BOLOGNA STUDIO - APOSA","Porto - Saragozza","Entire home/apt",90,2,4,"03/07/2018",0.1,0,44.49789,11.33805,"(44.498,44.5]","(44.498,44.5]"
23725169,"PORTOBELLO Int.4  STRATEGIC LOCATION WITH PATIO.","Porto - Saragozza","Entire home/apt",90,2,7,"08/03/2020",0.25,43,44.50139,11.33876,"(44.5,44.502]","(44.5,44.502]"
23776323,"B & B Sleeping","Porto - Saragozza","Private room",68,1,1,"08/04/2019",0.04,109,44.50292,11.34016,"(44.502,44.504]","(44.502,44.504]"
23776432,"B&B sleeping","Porto - Saragozza","Private room",72,1,6,"14/06/2019",0.15,129,44.50295,11.34088,"(44.502,44.504]","(44.502,44.504]"
23776588,"B & B Sleeping","Porto - Saragozza","Hotel room",59,1,52,"16/06/2019",1.33,342,44.50335,11.34131,"(44.502,44.504]","(44.502,44.504]"
23786195,"Flat / Monolocale Comfort Bologna Centro","Porto - Saragozza","Entire home/apt",100,1,4,"27/09/2019",0.19,179,44.49647,11.33729,"(44.496,44.498]","(44.496,44.498]"
